study_variable,published_domain,regex_domain,match
cash_choice_task,Cognition,Cognition,True
lmt_scr_perc_correct,Cognition,Cognition,True
nihtbx_cardsort_uncorrected,Cognition,Cognition,True
nihtbx_cryst_uncorrected,Cognition,Cognition,True
nihtbx_flanker_uncorrected,Cognition,Cognition,True
nihtbx_fluidcomp_uncorrected,Cognition,Cognition,True
nihtbx_list_uncorrected,Cognition,Cognition,True
nihtbx_pattern_uncorrected,Cognition,Cognition,True
nihtbx_picture_uncorrected,Cognition,Cognition,True
nihtbx_picvocab_uncorrected,Cognition,Cognition,True
nihtbx_reading_uncorrected,Cognition,Cognition,True
nihtbx_totalcomp_uncorrected,Cognition,Cognition,True
pea_wiscv_tss,Cognition,Cognition,True
RAVLT,Cognition,Cognition,True
screen_wkdy_y,Screen Time,Screen Time,True
screen1_wkdy_y,Screen Time,Screen Time,True
screen10_wknd_y,Screen Time,Screen Time,True
screen11_wknd_y,Screen Time,Screen Time,True
screen12_wknd_y,Screen Time,Screen Time,True
screen13_y,Screen Time,Screen Time,True
screen14_y,Screen Time,Screen Time,True
screen2_wkdy_y,Screen Time,Screen Time,True
screen3_wkdy_y,Screen Time,Screen Time,True
screen4_wkdy_y,Screen Time,Screen Time,True
screen5_wkdy_y,Screen Time,Screen Time,True
screen7_wknd_y,Screen Time,Screen Time,True
screen8_wknd_y,Screen Time,Screen Time,True
screen9_wknd_y,Screen Time,Screen Time,True
screentime1_p_composite,Screen Time,Screen Time,True
screentime2_p_composite,Screen Time,Screen Time,True
stq_y_ss_weekday,Screen Time,Screen Time,True
stq_y_ss_weekend,Screen Time,Screen Time,True
demo_child_time_v2,Demographics,Demographics,True
demo_comb_income_v2,Demographics,Demographics,True
demo_ed_v2,Demographics,Demographics,True
demo_fam_exp1_v2,Demographics,Demographics,True
demo_fam_exp2_v2,Demographics,Demographics,True
demo_fam_exp3_v2,Demographics,Demographics,True
demo_fam_exp5_v2,Demographics,Demographics,True
demo_fam_exp6_v2,Demographics,Demographics,True
demo_fam_exp7_v2,Demographics,Demographics,True
demo_prnt_16,Demographics,Demographics,True
demo_prnt_age_v2,Demographics,Demographics,True
demo_prnt_ed_v2,Demographics,Demographics,True
demo_prnt_income_v2,Demographics,Demographics,True
demo_prnt_prtnr_adopt,Demographics,Demographics,True
demo_prnt_prtnr_bio,Demographics,Demographics,True
demo_prnt_prtnr_v2,Demographics,Demographics,True
demo_prnt_working,Demographics,Demographics,True
demo_prnt_years_us_v2,Demographics,Demographics,True
demo_prtnr_ed_v2,Demographics,Demographics,True
demo_prtnr_income_v2,Demographics,Demographics,True
demo_prtnr_working,Demographics,Demographics,True
demo_roster_v2,Demographics,Demographics,True
demo_years_us_v2,Demographics,Demographics,True
demo_yrs_1,Demographics,Demographics,True
demo_yrs_2,Demographics,Demographics,True
demo_yrs_2a_2,Demographics,Demographics,True
demo_yrs_2b_2,Demographics,Demographics,True
isip_1b_yn,Substance,Substance,True
isip_1d_2,Substance,Substance,True
parent_rules_q1,Substance,Culture/Environment,False
parent_rules_q1a,Substance,Culture/Environment,False
parent_rules_q2,Substance,Culture/Environment,False
parent_rules_q4,Substance,Culture/Environment,False
parent_rules_q5,Substance,Culture/Environment,False
parent_rules_q6,Substance,Culture/Environment,False
parent_rules_q7,Substance,Culture/Environment,False
parent_rules_q8,Substance,Culture/Environment,False
parent_rules_q9,Substance,Culture/Environment,False
path_alc_youth1,Substance,Substance,True
path_alc_youth2,Substance,Substance,True
path_alc_youth4,Substance,Substance,True
path_alc_youth5,Substance,Substance,True
path_alc_youth7,Substance,Substance,True
path_alc_youth8,Substance,Substance,True
peer_deviance_2_dd1457,Substance,Substance,True
su_caff_intake_1_calc,Substance,Substance,True
su_caff_intake_3_calc,Substance,Substance,True
su_caff_intake_4_calc,Substance,Substance,True
su_caff_intake_6_calc,Substance,Substance,True
su_caff_intake_9_calc,Substance,Substance,True
su_caff_max_calc,Substance,Substance,True
su_caff_ss_sum_calc,Substance,Substance,True
su_isip_1_calc,Substance,Substance,True
su_isip_1b_2_calc,Substance,Substance,True
su_risk_p_1,Substance,Substance,True
su_risk_p_2,Substance,Substance,True
su_risk_p_3,Substance,Substance,True
su_risk_p_4,Substance,Substance,True
su_risk_p_5,Substance,Substance,True
su_risk_p_6,Substance,Substance,True
su_risk_p_7,Substance,Substance,True
su_risk_p_8,Substance,Substance,True
su_risk_p_9,Substance,Substance,True
tlfb_alc_sip,Substance,Substance,True
tlfb_inhalant,Substance,Substance,True
tlfb_list___1,Substance,Substance,True
tlfb_list___18,Substance,Substance,True
tlfb_list___7,Substance,Substance,True
tlfb_list_yes_no,Substance,Substance,True
tlfb_mj,Substance,Substance,True
tlfb_mj_synth,Substance,Substance,True
tlfb_rx_misuse,Substance,Substance,True
tlfb_tob,Substance,Substance,True
crpbi_caregiver12_y,Culture/Environment,Culture/Environment,True
crpbi_caregiver13_y,Culture/Environment,Culture/Environment,True
crpbi_caregiver14_y,Culture/Environment,Culture/Environment,True
crpbi_caregiver15_y,Culture/Environment,Culture/Environment,True
crpbi_caregiver16_y,Culture/Environment,Culture/Environment,True
crpbi_parent1_y,Culture/Environment,Culture/Environment,True
crpbi_parent2_y,Culture/Environment,Culture/Environment,True
crpbi_parent3_y,Culture/Environment,Culture/Environment,True
crpbi_parent4_y,Culture/Environment,Culture/Environment,True
crpbi_parent5_y,Culture/Environment,Culture/Environment,True
crpbi_y_ss_caregiver,Culture/Environment,Culture/Environment,True
crpbi_y_ss_parent,Culture/Environment,Culture/Environment,True
fam_enviro1_p,Culture/Environment,Culture/Environment,True
fam_enviro2r_p,Culture/Environment,Culture/Environment,True
fam_enviro3_p,Culture/Environment,Culture/Environment,True
fam_enviro4r_p,Culture/Environment,Culture/Environment,True
fam_enviro5_p,Culture/Environment,Culture/Environment,True
fam_enviro6_p,Culture/Environment,Culture/Environment,True
fam_enviro7r_p,Culture/Environment,Culture/Environment,True
fam_enviro8_p,Culture/Environment,Culture/Environment,True
fam_enviro9r_p,Culture/Environment,Culture/Environment,True
fes_p_ss_fc_pr,Culture/Environment,Culture/Environment,True
fes_y_ss_fc_pr,Culture/Environment,Culture/Environment,True
fes_youth_q1,Culture/Environment,Culture/Environment,True
fes_youth_q2,Culture/Environment,Culture/Environment,True
fes_youth_q3,Culture/Environment,Culture/Environment,True
fes_youth_q4,Culture/Environment,Culture/Environment,True
fes_youth_q5,Culture/Environment,Culture/Environment,True
fes_youth_q6,Culture/Environment,Culture/Environment,True
fes_youth_q7,Culture/Environment,Culture/Environment,True
fes_youth_q8,Culture/Environment,Culture/Environment,True
fes_youth_q9,Culture/Environment,Culture/Environment,True
neighborhood_crime_y,Culture/Environment,Culture/Environment,True
neighborhood1r_p,Culture/Environment,Culture/Environment,True
neighborhood2r_p,Culture/Environment,Culture/Environment,True
neighborhood3r_p,Culture/Environment,Culture/Environment,True
nsc_p_ss_mean_3_items,Culture/Environment,Culture/Environment,True
parent_monitor_q1_y,Culture/Environment,Culture/Environment,True
parent_monitor_q2_y,Culture/Environment,Culture/Environment,True
parent_monitor_q3_y,Culture/Environment,Culture/Environment,True
parent_monitor_q4_y,Culture/Environment,Culture/Environment,True
parent_monitor_q5_y,Culture/Environment,Culture/Environment,True
pmq_y_ss_mean,Culture/Environment,Culture/Environment,True
prosocial_q1_p,Culture/Environment,Culture/Environment,True
prosocial_q1_y,Culture/Environment,Culture/Environment,True
prosocial_q2_p,Culture/Environment,Culture/Environment,True
prosocial_q2_y,Culture/Environment,Culture/Environment,True
prosocial_q3_p,Culture/Environment,Culture/Environment,True
prosocial_q3_y,Culture/Environment,Culture/Environment,True
psb_p_ss_mean,Culture/Environment,Culture/Environment,True
psb_y_ss_mean,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_b138,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_crowd,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_edu_h,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_edu_l,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_home_o,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_home_v,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_in_dis,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_income,Culture/Environment,Demographics,False
reshist_addr1_adi_mortg,Culture/Environment,Culture/Environment,True
reshist_addr1_adi_ncar,Culture/Environment,Culture/Environment,True
